    Energy    <xanes>    
  -20.0000  7.5242078E-03
  -19.5000  7.7686569E-03
  -19.0000  8.0278323E-03
  -18.5000  8.3030409E-03
  -18.0000  8.5957436E-03
  -17.5000  8.9075786E-03
  -17.0000  9.2403884E-03
  -16.5000  9.5962514E-03
  -16.0000  9.9775201E-03
  -15.5000  1.0386866E-02
  -15.0000  1.0827336E-02
  -14.5000  1.1302416E-02
  -14.0000  1.1816109E-02
  -13.5000  1.2373038E-02
  -13.0000  1.2978559E-02
  -12.5000  1.3638911E-02
  -12.0000  1.4361399E-02
  -11.5000  1.5154616E-02
  -11.0000  1.6028737E-02
  -10.5000  1.6995874E-02
  -10.0000  1.8070542E-02
  -9.50000  1.9270249E-02
  -9.00000  2.0616264E-02
  -8.50000  2.2134618E-02
  -8.00000  2.3857418E-02
  -7.50000  2.5824580E-02
  -7.00000  2.8086142E-02
  -6.50000  3.0705341E-02
  -6.00000  3.3762731E-02
  -5.50000  3.7361646E-02
  -5.00000  4.1635365E-02
  -4.50000  4.6756172E-02
  -4.00000  5.2946003E-02
  -3.50000  6.0486821E-02
  -3.00000  6.9725005E-02
  -2.50000  8.1055512E-02
  -2.00000  9.4855547E-02
  -1.80000  1.0112248E-01
  -1.60000  1.0781591E-01
  -1.40000  1.1491428E-01
  -1.20000  1.2237428E-01
  -1.00000  1.3012640E-01
  -0.80000  1.3807148E-01
  -0.60000  1.4607967E-01
  -0.40000  1.5399302E-01
  -0.20000  1.6163231E-01
   0.00000  1.6880867E-01
   0.20000  1.7533218E-01
   0.40000  1.8103257E-01
   0.60000  1.8578414E-01
   0.80000  1.8951292E-01
   1.00000  1.9220209E-01
   1.20000  1.9389005E-01
   1.40000  1.9466213E-01
   1.60000  1.9463773E-01
   1.80000  1.9395568E-01
   2.00000  1.9276006E-01
   2.20000  1.9118834E-01
   2.40000  1.8936293E-01
   2.60000  1.8738624E-01
   2.80000  1.8533905E-01
   3.00000  1.8328145E-01
   3.50000  1.7833335E-01
   4.00000  1.7388083E-01
   4.50000  1.7000472E-01
   5.00000  1.6667434E-01
   5.50000  1.6376417E-01
   6.00000  1.6110820E-01
   6.50000  1.5864422E-01
   7.00000  1.5651160E-01
   7.50000  1.5498351E-01
   8.00000  1.5429680E-01
   8.50000  1.5451981E-01
   9.00000  1.5551977E-01
   9.50000  1.5701026E-01
   10.0000  1.5863861E-01
   11.0000  1.6109893E-01
   12.0000  1.6148144E-01
   13.0000  1.5956728E-01
   14.0000  1.5557306E-01
   15.0000  1.5042113E-01
   16.0000  1.4559296E-01
   17.0000  1.4208611E-01
   18.0000  1.4001824E-01
   19.0000  1.3907297E-01
   20.0000  1.3899345E-01
   22.0000  1.4108834E-01
   24.0000  1.4456631E-01
   26.0000  1.4573561E-01
   28.0000  1.4332159E-01
   30.0000  1.3928751E-01
   32.0000  1.3533460E-01
   34.0000  1.3173082E-01
   36.0000  1.2802901E-01
   38.0000  1.2406425E-01
   40.0000  1.2021723E-01
